0,1,2,3,4
저자가 알려주는 수학 교과서 100% 활용하기 (초등 3~4학년),5시간,2022.11.08,4점,수학을 어떠한 관점에서 가르쳐야 하는지 큰 틀을 알게 되었습니다.
정훈쌤의 뚝딱 칼림바,15시간,2022.11.08,5점,코로나로 인해 음악 수업에 활기를 잃었었는데 칼림바라는 악기를 접하게 되어 음악 수업에 즐거움을 찾았습니다. 학생들도 칼림바를 너무 좋아하고 소리도 힐링이 되는 것 같아 매일 듣고 싶네요
왕초보를 위한 캘리그래피,15시간,2022.11.08,4점,"마음을 정리하는 시간으로 좋았어요. 잘하면 취미로 좋을듯합니다.
감사합니다^^"
"나이와 신분을 초월한 독립운동, 그 현장을 읽다",30시간,2022.11.08,5점,"우리 역사에 대해 다시 한 번 생각해보는 시간이 되었습니다.
무료지만 유익했어요."
세상에서 제일 쉬운 과학 이야기,30시간,2022.11.08,5점,"철학에서 과학으로 소크라테스부터 AI까지 세상에 대한 통찰과 인간의 삶을 모두 연결해 이야기해주는 수준 높은 연수였습니다.
과정명처럼 세상에서 제일 쉬운 과학 이야기는 아니었다 입니다.
좀 더 심오하고 깊이 있는 내용이어서 오히려 더 좋았습니다.
과학이라는 과목이 어려운 이유가 이렇게 자연이라는 어떤 실체를 알아가는 과정에서 세계관을 넓히고 더 나아가서는 세상을 바꿀 수도 있기 때문에 의미가 있다는 말씀에 대단히 동감하며 훌륭한 강의를 잘 들었습니다.

우주, 인간, 마음에 대한 질문으로 시작해 새로운 질문들, 또 그것에 대한 설명들 그리고 그 설명들을 하기위한 답들을 제시하며 연구가 계속된 것이 과학의 시작이고 계속된 연구 전통이 지금의 세상을 훨씬 더 넓게 깊게 볼 수 있게 만들었다는 데에 과학의 위대함을 더 느끼며 1강부터 30강까지 복습을 여러 번 하였습니다.

내용도 쉽지 않은 만큼 시험도 어려울 것이라 생각해 리마인드 퀴즈도 수차례 복습하고 내용도 또 확인하며 준비해서 시험을 응시했는데 역시 시험이 쉽지는 않았습니다. 그러나 시험에 집중해 열심히 임하다 보면 다 생각이 나면서 풀리는 경향이 있습니다. 쉽지 않은 시험덕에 다시한번 더 시험문제로 복습하는 기회를 만들어 주었습니다.

쉬운 과학이야기 인줄 알고 접근했으나 깊이 있는 강의로 오히려 더 몰입해서 들으며 연수를 마쳤습니다. 유익한 강의였으며 유의미한 시간 있었습니다. 감사합니다."
학생 자존감 수업,15시간,2022.11.08,5점,"긍정의 힘을 다시 회복하는 시간이 되었습니다.
수고하신 분들께 감사드립니다."
손그림과 파워포인트로 교실 속 콘텐츠 만들기,30시간,2022.11.08,5점,"여러 학습자료를 사용할 때, 저작권 문제가 있어서 사용이 꺼려졌던 경우가 종종 있었습니다. 다른 선생님들의 멋진 자료를 보면서 어떻게 만드는 건지 항상 궁금했는데, 이번 연수를 통해 나도 고퀄리티의 학습자료를 만들 수 있겠다는 자신감을 얻었습니다. 우리 학급에 맞는, 선생님 고유의 생각을 담은 학습자료를 만들고 싶으시다면 이 강좌를 추천합니다."
수업을 살리는 체육 레시피,30시간,2022.11.08,5점,체육수업을 어떻게 운영하면 좋을 지에 대한 조언과 내용요소를 학습하면서 재미까지 얻을 수 있는 수업팁을 얻을 수 있어서 좋았습니다.
인성교육 연구보고서 작성법,15시간,2022.11.08,5점,"연구보고서를 어떻게 작성하면 좋을지 멘토가 상세히 설명해주는 느낌이었습니다.
챕터별로 꿀팁과 유의사항이 잘 정리되어 있어서 보고서 작성에 큰 도움이 되었습니다.
스스로 복습하고 싶을만큼 좋은 연수였습니다."
한 번에 끝내는 법정연수 1,6시간,2022.11.08,5점,"교원의무 연수가 많아서 일일이 찾아 듣기가 어려웠는데,
이렇게 패키지로 구성되어 있어 편리합니다.
또한 연수 분량도 길지 않아서 부담없이 듣기 좋았습니다"
신병주 교수의 왕으로 산다는 것,30시간,2022.11.07,4점,조선의 역사를 객관적으로 훑어볼 수 있어 좋있음.
성호쌤과 함께하는 랜선 박물관 여행,30시간,2022.11.07,5점,코로나로 인해 체험학습을 못해서 박물관 관람이 아쉬웠는데 이렇게 연수로나마 박물관을 느낄 수 있어서 좋았습니다. 앞으로 아이들과 만나면서 다양한 지식으로 박물관에 대해 설명할 수 있는 기회를 만들어준 유익한 연수입니다. 많은 선생님께 추천하고 싶은 연수랍니다. 감사합니다.
학생 자존감 수업,15시간,2022.11.07,5점,"학생과 선생님의 자존감을 높이는 수업입니다
고정관념을 깨뜨리는
진사람이 먼저 질문하고 이긴사람이 대답하기
특히 스티커를 진사람에게 선물로 주기~
잘 활용하겠습니다.
감사합니다,"
정훈쌤의 뚝딱 칼림바,15시간,2022.11.07,5점,"칼림바라는 악기를 처음 접해 보았습니다. 코로나로 인해 그동안 음악시간에 가르치던 단소와 리코더를 사용할 수 없게 되면서 입으로 불지 않아도 연주할 수 있는 가락 악기가 필요했어요. 실로폰은 사이즈가 크기도 하고 저학년 때 많이 해서 아이들 흥미도 좀 떨어지고 소리도 너무 땡땡거려서 제외했습니다. 그런 와중에 칼림바라는 가락악기를 우연히 접하고 자그마한 사이즈에 아이들이 준비물실에서 가져다가 쓰기도 편리할 것 같아서 음악 시간에 쓰면 좋겠다고 생각했어요. 그리고 저부터 배워보고자 칼림바 연수를 신청했습니다. 무엇보다도 아이들과 함께 연주할 수 있는 악보를 제공해주는 점이 너무 좋았습니다. 사실 악기별로 그 악기를 연주하는데 적합한 악보들이 있고, 그런 적합한 악보를 찾기가 참 어렵잖아요? 그런데 그런 악보를 제공해준다는 점이 너무 좋았습니다. 악보도 쉬운 곡부터 어려운 곡까지 다양하게 있어서 너무 좋았고요.
연수 내용도 좋았습니다. 일단 칼림바의 기초부터 차근차근 배울 수 있어서 저같은 칼림자 초보도 하나하나 배울 수 있었습니다. 그리고 다양한 곡들을 연주해보는데 칼림바 소리가 참 좋더라고요. 실로폰처럼 막대로 치는 것이 아니다보니 너무 땡땡거리면서 큰 소리가 아니라 적당한 울림이 있는 고운 소리가 납니다. 아이들이랑 교실에서 해도 옆 반 눈치가 안보일 것 같아요. 그리고 손에 쏙 들어오는 작은 사이즈도 아이들이 다루기에 딱 좋고요.
칼림바를 하나도 모르는 사람부터, 어느 정도 다룰 줄 아는 사람까지 모두 두루두루 듣기 좋은 연수라고 생각됩니다. 칼림바의 다양한 기법에 대해서도 나오는데, 저처럼 초보인 분들도 쉽게 들을 수 있을 것 같아요. 너무 어렵게 생각하지 않고 편안하게 따라 하면 충분히 가능합니다.
아이들 수업 시간에 악기 연주 부분만 틀어서 보여주면서 함께 따라해도 큰 도움이 될 것 같고요. 아무래도 손가락으로 직접 튕기는 모습을 보여주는 동영상이다보니 아이들에게 보여주면 이해가 쉬울 것 같아요.
이렇게 수업에 두루두루 도움이 되는 연수라서 강추합니다. 또 혼자만의 악기 연주 시간을 즐기고 싶은 선생님께도 추천합니다. 힘든 코로나 시기에 마음의 위로를 얻을 수 있는 아름다운 음색입니다.
무엇보다도 마스크를 벗지 않고 연주가 가능한 가락악기라는 점에서 앞으로도 학교 현장에서 많이 쓰일 것 같아요. 미리미리 배워두시길 추천합니다~~"
그림검사와 다양한 기법으로 만나는 미술치료,30시간,2022.11.07,4점,"매년 물고기화 밖에 그릴 수 없었던 우리반 아리들,,
이젠 다양한 그림과 미술 재료를 통해 아이들도 스트레스를 해소하고
나도 아이들과 소통할 수 있는 좋은 학습법을 터득 했습니다. 감사합니다^^"
신병주 교수의 왕으로 산다는 것,30시간,2022.11.07,5점,5학년 사회 역사수업에 도움이 될 것 같아 수강했습니다. 내용이 알차고 설명을 이해하기 쉽게 잘해주셔서 많은 도움이 되었어요.
성호쌤과 함께하는 랜선 박물관 여행,30시간,2022.11.07,5점,교사가 아는만큼 교육의 질이 다르다고 생각합니다. 교과서에 단편적으로 등장하는 유물이나 자료를 수박 겉핥기식으로 지도하는 것에 지치셨다면 성호쌤과 함께하는 랜선 박물관 여행을 추천합니다!! 학생들 하교한 뒤 오후에 틈틈히 들었는데 역사적 상식도 늘고 정말 유익했습니다!!
교과수업에 활용하는 진로교육,30시간,2022.11.07,5점,창의적 체험활동 중에 진로교육은 지도 자료가 충분하지 않아 지도하기 까다로운 창체교육 중 하나입니다. 바로 수업에 적용할 수 있는 실용적인 지도내용을 담아서 정말 좋았고 이 강의를 학기 말에 듣게 되어서 아쉬웠습니다!! 새학기 오기 전에 꼭 들어보시고 연간 계획 잘 세워서 진로교육 하시기 추천합니다^^
7인의 전문의와 함께하는 메디컬 콘서트,30시간,2022.11.07,5점,"코로나도, 독감도... 안그래도 연이은 피로감에 요즘들어 한층건강이 안좋아짐을 느끼던 중 이번 연수를 신청하게 되었습니다.
교사들이 잘 걸릴 수 있는 병에 대해 평소 궁금증을 가지고 있었는데 이번 연수를 들으면서 내가 그때 외 그런 증상을 느꼈는지 이해가 되면서 앞으로 어쩌해야할지 해답까지 얻게된 유용한 연수였습니다. 연수 시간도 적당하고 평소 TV에서 보던 강사님들이라 연수 듣기도 한층 수월했습니다. 교사의 직업병이라 할 수 있는 여러가지 질병에 대해 이해하고 앞으로 예방하기 위해 내가 노력할것들에 대해 알고나니 한층 마음이 가볍습니다.
건강을 잃으면 모든 것을 잃는것이다!
퇴직후 교사들이 받는 평균 연금이 10년도 채 안된다고 하더군요. 미리미리 건강에 대해 바로 알고 대비하는 마음자세가 정말 중요하다고 생각됩니다. 그런 의미로 이 연수를 다른 선생님들께 꼭 추천하고 싶습니다! ^^"
온작품 읽기와 그림을 활용한 깊이 있는 수업,15시간,2022.11.06,5점,매년 온작품 읽기 수업을 꾸준히 하고 있는데 아이들과 좀 더 즐겁게 할 수 있는 활동에 대한 고민이 많았습니다. 마침 티셀파연수원에서 온작품 읽기에 대한 연수를 찾아서 너무 반가운 마음에 바로 신청하게 되었습니다. 연수를 들으며 아이들과 함께 읽을 수 있는 다양한 작품과 교과의 경계를 넘어 융합수업으로 진행할 수 있는 활동까지 다양한 팁을 제공받게 되어서 너무 행복합니다. 아이들이 생각보다 그림책을 함께 읽는 것을 좋아하고 그 속에 나오는 수학문제나 환경문제 등에 대해 생각하는 것을 좋아합니다. 다양한 사회문제에 대해서도 그림책을 통해 쉽게 접근할 수 있다는 생각이 듭니다. 앞으로도 온작품 읽기 연수에서 추천해주신 책과 활동들을 차분하게 진행하며 학기를 잘 마무리 할 수 있을 것 같습니다. 평소 그림책 활동을 하시는 선생님들께 이 연수를 강추합니다!
수업이 즐거워지는 과학 교과서 활용 꿀팁 (초등 3~4학년),5시간,2022.11.04,5점,"꼭 한번 들어야할 필수 연수입니다.

강추입니다.^^"
독립운동 현장읽기 - 의병전쟁,15시간,2022.11.04,5점,"이연수를 통해 의병전쟁에 대하여 많은 것을 알게 된 뜻 깊은 시간이 되었습니다.
강추입니다.!!"
옆반 쌤이 알려주는 꿀팁(온라인 수업편),15시간,2022.11.03,5점,요즘은 편하게 살려면 정보가 꼭 필요하다. 생활에 교직에 꼭 필요한 연수입니다. 꼭 한번 들어보세요
"하루 20분, 컬쳐 리스닝 픽업",15시간,2022.11.02,4점,영어로 우리 문화재에 대해 설명을 들을 수 있는 좋은 기회였습니다. 그런데 시험은 영어 관련이 아니라 역사 시험 같아서 깜짝 놀랐습니다. 강의에 비해 시험이 어려웠어요.
"나이와 신분을 초월한 독립운동, 그 현장을 읽다",30시간,2022.10.11,5점,"이 연수는 누구나 한번쯤 다 들었으면 해요. 특히 이 시대 젊은이들에게 권하고 싶네요.
나라의 미래를 위해 촛불을 들었던 모든 의인들이 바로 의병이겠고, 의병들의 후손으로서
젊은 피를 가진 모두가 그 의의를 다지는 시간이 될 것 같습니다."
"나이와 신분을 초월한 독립운동, 그 현장을 읽다",30시간,2022.10.11,5점,"역사에 대해 꼭 한번 들어야 할 필수 연수 같아요.
보는 동안 유익한 정보도 얻고 역사 의식도 생긴 것 같아 좋아요,"
교사를 위한 교실 밖 여행인문학,15시간,2022.10.11,4점,지금까지 우리 나라의 여러곳을 다녀봤지만 이번 연수에 나오는 곳과 그곳의 특별한 음식이 무엇인지는 별로 관심이 없었다. 각 지역에 특징있는 음식문화가 있다는 사실조차 큰 관심이 없었는데 이 연수를 통해서 곳곳의 다양한 지역적 특징과 그곳의 음식에 관해서 알 수 있어서 매우 유익한 연수였다. 아쉬운점은 설명과 함께 동영상이 부족했다는 점을 보충해 주었으면한다.
정훈쌤의 뚝딱 칼림바,15시간,2022.10.08,5점,"칼림바를 처음 시작하시는 분께 추천하는 연수입니다.
기초부터 중급까지 연수를 통해 익힐 수 있어요.
악보도 보내주셔서 칼림바 연습하는데 도움이 되었습니다."
"학급경영, 수업, 업무 - 노션으로 한 방에 해결하기",15시간,2022.10.08,5점,"예전에 노션을 들어보기만 하고 사용법을 몰라 넘겼다가 이 연수를 통해 처음 노션이라는 것을 제대로 알게 되었는데 신세계인 느낌입니다.
익히는데 진입장벽이 있기는 하지만 익숙하게 사용만 한다면 학급 경영, 개인 일상 등 많은 부분에서 큰 도움을 얻을 것 같습니다.
연수들으면서 처음으로 직접 실습해가며 열심히 들었네요!
너무나 좋은 연수라 다른 선생님들께도 적극 추천하고 싶습니다."
교과서 속 세계문화유산,30시간,2022.10.08,5점,세계 속의 한국 문화의 우수성을 심도 있게 알 수 있는 유익한 연수였습니다.
온작품 읽기와 그림을 활용한 깊이 있는 수업,15시간,2022.10.07,5점,"온책읽기 도서를 수업에 어떻게 활용할수 있는지 알려주는 유익한 연수였다.
학년수준에 따라 사용 가능한 도서를 소개해 주어 우리 학년에에 맞는 도서를 정해 학년 선생님들과 협의해 수업에 활용함으로써 아이들의 수업 열의를 끌어 올릴수 있었다."
성호쌤과 함께하는 랜선 박물관 여행,30시간,2022.10.07,5점,과거보다 미래를 생각해 볼 수 있는 매우 유익한 연수였습니다~!
재테크보다 중요한 나만의 재무설계,15시간,2022.10.07,5점,"경제에 관심이 많지만 어떻게 재무설계를 해야할지 몰랐는데 이 연수를 듣고 어떻게 경제관리를 해야하는지 알게 되었습니다
매우 추천합니다"
왕초보를 위한 캘리그래피,15시간,2022.10.07,4점,"캘리그라피와 POP의 차이도 알고, 무엇보다 우리글씨의 무한 변형이 너무 예쁘고 좋았습니다. 뒤늦게 글씨 연습 아니 캘리그라피 연습으로 마음 정진도 고고 하렵니다."
이것이 진짜! 코로나19 이후 경제전망,6시간,2022.10.06,5점,재테크 능력을 향상시킬 수 있는 경제 연수 좋습니다!
초등 고학년 탐구생활,15시간,2022.10.06,5점,고학년 학생들을 이해하는데 도움이 되었습니다.좋은 연수 감사드립니다.
정훈쌤의 뚝딱 칼림바,15시간,2022.10.06,5점,"칼림바! 멀리서 보던 악기를 올해 아이들과 함께 하면서 좀 더 자세히 배우고 싶어 신청했습니다.

새롭고 아직은 서툴지만 열심히 복습하면서 배울 수 있는 준비가 된 것 같아 감사합니다.

좋은 연수 감사합니다.!!"
"하루 20분, 상황별 생활영어회화",15시간,2022.10.06,5점,제목이 참 좋았어요. 유용한 영어 표현들 배우고 싶은데 긴 시간은 부담스럽고 싫거든요. 정말 20분만 투자해서 따라서 말해보고 연습해보면 조금은 늘은거 같고 머리속에 들어오는게 꽤 많습니다. 적은 시간으로 큰 효과 보고 싶으신 분들께 추천해요.
English Grammar in Use,30시간,2022.10.06,5점,"영문법. 정말 오래전에 배운거죠.
영어교과를 가르치지 않으니 더 멀어져서 뭔가 지식적인게 얻고 싶어서 신청한 연수에요. 사실대로 말하면 연수 들으면서 쉽지는 않았지만, 아~~ 그렇구나. 하며 깨달은게 많은 연수라 아주 유익했습니다."
그림검사와 다양한 기법으로 만나는 미술치료,30시간,2022.10.06,5점,"이 연수는 사실은 제 아이의 마음속이 궁금해서 듣게 된 연수입니다.
그림은 마울의 거울이라고 합니다. 사소하지만 사소하지 않은 것들을 그림을 통해 읽어낼 수 있어요. 반 아이들 중에 특히 눈여겨봐야할 아이가 있으면 꼭 들어보셔야 합니다."
손그림과 파워포인트로 교실 속 콘텐츠 만들기,30시간,2022.10.06,5점,"손그림? 파워포인트? 난 못해. 난 똥손이거든.
인디에 가면 많은데 할 필요 없지..
생각하면 발전이 없쥬.

이 연수를 통해 알고 있지만 잊고 있던 파워포인트 기술, 손으로 아기자기하게 그리는 방법 배울 수 있습니다. 추천합니다."
재테크보다 중요한 나만의 재무설계,15시간,2022.10.06,5점,"재테크를 하려면 계획이 있어야 겠지요.
이 연수를 통해 나의 현재 상황과 앞으로 원하는 것들, 할 수 있는 것들, 해야하는 것들에 대해 계획해볼 수 있습니다. 통장이 월급이 스치는 사이버 머니가 되지 않기 위해, 통장이 텅장이 되지 않기 위해 한번쯤 들어야 하는 연수입니다."
초등 고학년 탐구생활,15시간,2022.10.06,5점,"바로 접니다. 저, 중학년만 어쩌다 연속으로 몇년 하니 5,6학년 학생들은 복도에서 보기만 해도 무섭더라구요. 등치와 말투, 눈빛의 아우라..
그래서 이 연수 들었습니다. 마음의 준비가 되기 충분합니다. 오랜만에 5-6 올라가시는 선생님들께 추천합니다. 마음의 든든함과 준비해야 하는 것들 챙길 수 있고 그리고 그들이 왜 그러는지에 대한 의구심이 어느정도 해결될 수 있어요."
한 번에 끝내는 법정연수 1,6시간,2022.10.06,5점,학교 현장에서 교사한테 요구하는 이것저것이 점점 많아지는 현실입니다. 여러 법정연수를 한데 묶어 해결할 수 있는 이 과정. 당연히 추천합니다. 안들으면 손해.
당장 따라 할 수 있는 사계절 학급운영+이벤트,15시간,2022.10.06,5점,"이벤트가 있는 학급.
우선 재미있겠쥬? 재미있으면 우리 학생들 좋아하겠쥬? 학생이 학교오는게 행복하면 학부모님도 행복하시겠쥬? 모두가 행복하면 선생님이 제일 행복하겠쥬..
이 연수는 사계절, 계절별로 월별로 할 수 있는 이벤트와 함께 소소하지만 큰팁의 학급운영 노하우를 배울 수 있는 과정입니다. 내가 할 수 있는걸 나의 식으로 바꿔서 우리반에 적용해볼 수 있는게 가장 큰 장점이에요. 추천합니다."
참여하고 탐구하는 통합과학 수업방법,15시간,2022.10.06,4점,화학전공인데 통합과학을 지도함에있어 어려움이있었습니다 ㅠ 이번 연수를 통해 다양한 벙법에 대해 알게되어 좋았습니다^^
수업을 살리는 꿀팁 레시피,30시간,2022.10.06,5점,수업레시피가 아주 좋아서 멋진 수업을 하는데 큰 도움이 됩니다. 좋은연수 감사합니다.
수업을 살리는 체육 레시피,30시간,2022.10.05,5점,"실제 체육수업을 두려워하고 어려워하던 교사입니다. 학생들과 체육시간이되면 항상 '오늘 뭐하지?', '좀 더 쉽고 간편하고 학생들은 재밌어하는 놀이는 없을까?' 란 생각을 했었습니다.
하지만 수업을 살리는 체육 레시피 연수를 수강한 후 위와같은 고민은 줄어들고 '아 나도 학생들과 보다 재밌고 즐거운 놀이 체육 수업을 할 수 있겠구나'란 꺠달음과 자신감을 얻게되었습니다. 수업 시작 전 주의사항부터 교육과정 성취 기준에 맞는 다양한 활동들, 그리고 그로부터 얻을 수 있는 일상의 아이디어와 발상의 전화..
너무나도 귀중한 연수였고, 다음에 보다 좋은 연수를 통해 더욱 더 깊은 깨달음과 수업 적용으로 성장하는 교사가 될 수 있었으면 합니다. 감사합니다."
당장 따라 할 수 있는 사계절 학급운영+이벤트,15시간,2022.10.05,5점,"매년 하면서도 새학기, 새학년이 되면 학급운영에 대한 고민이 앞서고 막막합니다. 신규타이틀은 벗은지 오래지만 다시 배우는 마음가짐으로 열심히 수강했습니다. 내년에 활용해보겠습니다. 정말 감사합니다."
손그림과 파워포인트로 교실 속 콘텐츠 만들기,30시간,2022.10.05,5점,실제 교실에서 활용하기 좋은 콘텐츠들만 제공해 주셔서 도움이 많이 되었습니다!
"학급경영, 수업, 업무 - 노션으로 한 방에 해결하기",15시간,2022.10.04,5점,"노션으로 학급경영, 수업, 업무를 한 방에 해결할 수 있는 꿀팁을 차근차근 알려주셔서 정말 유용했습니다!

학교 현장에서 선생님들의 불필요한 노동시간을 줄이고 업무 효율을 높일 수 있는 획기적인 방법을 알려주셔서 지금껏 들어본 직무연수 중에 에듀테크에 모두 집중하는 이 코시국에 가장 필요한 연수라는 생각이 들었습니다.

무엇보다도 학생들에게 학습지 나눠주는 것이 줄어들어서 포트폴리오 관리도 편리하고, 환경에도 도움이 됩니다!

아무리 좋은 내용일지라도 배운 것을 잊어버리지 않으려면 실습과 적용은 필수 입니다!!


노션을 활용한 좋은 직무연수 저만 알고 있기 아까워서 주변 선생님들께 소개하고 있습니다~^^"
지리와 함께하는 인문학 티타임,30시간,2022.10.04,5점,"강의 자료도 자료실에서 한번에 다운 받아서 배운 내용 복습하기도 편리했고, 짬짬이 듣고 배운 지리관련 상식을 학생들에게 수업 때 알려주기도 좋았습니다!!

근무하면서 가끔 오후 시간 날 때 짬짬이 들으면서 정말 힐링되는 연수였습니다~~ 앞으로도 이런 교양관련 직무 연수 많이 기획해주세요~^^ 강력 추천합니다!!"
수업을 살리는 놀이 레시피,30시간,2022.10.04,5점,"놀이 수업을 진행한다는게 사실 쉬은게 아니었습니다.
학생들과 지켜야할 놀이 규칙 정하고, 아무래도 자주 싸우거나 승부욕이 강한 학생들이 있으면 수업 진행 중 사고가 나기 쉽기도 합니다.
하지만, 수업을 살리는 놀이 레시피 강의 연수를 들은 후 '아 나도 이렇게 수업을 진행하면 되겠구나'와 같은 자신감이 조금씩 생겼습니다.
시도해보지도 않고 매일 똑같은 수업만 진행하는것보다, 좌절하고 실패해도 배운 연수를 실제 학생들과의 수업에 적용시키고 나만의 방법으로 만들어 나아가는 나 자신이 스스로 대견스럽고 다음 후배들에게도 나만의 수업을 보여줄 수 있다는 자신감이 생겼습니다.
앞으로도 좋은 수업 내용으로 연수 계획해주시고 올려주시면 꼭 들을 수 있도록 하겠습니다.
고생하셨습니다."
성호쌤과 함께하는 랜선 박물관 여행,30시간,2022.10.04,5점,모든 선생님들께 좋은 연수지만 사회교과 내용과 관련하여 4-6학년 담임선생님께서 들으시면 수업에 큰 도움 될 연수입니다. 자세하고도 좋은 내용의 연수 좋았어요. 감사합니다.
성호쌤과 함께하는 랜선 박물관 여행,30시간,2022.10.04,5점,"코로나 때문에 역사를 좋아하고 관심있어도 실제로 찾아가기 힘들었습니다.
몇 개의 박물관은 실제로 가보았지만 연수를 받고 나니 다시 한번 저의 가족과 함께 가고 싶어졌습니다.
정말 유익한 연수였습니다.
성호샘이 정말 재미있고 자세하게 잘 설명해주셔서 즐겁게 연수에 참여할 수 있었어요.
역사가 중요함에도 또 알고 바른 의식을 갖는 것이 얼마나 중요한 것인지 잘 알고 있습니다.
올바른 역사 의식이 있었다면 특히 많이 지식인들이 조금 더 나라를 위한 결정을 했다면 하는 생각도 들었구요.
지금도 우리는 역사를 만들어 가고 있는 셈이죠.
대한민국을 위해 역사교육이 더욱 활발해졌으면 좋겠습니다.
역사를 싫어하는 아이들에게 교사의 올바른 역사의식과 우리역사의 중요성과 우수성을 잘 이해시키려면 교사부터 역사에 대해 잘 알고 자신감있는 태도가 중요하다 생각합니다.
우리반 아이들은 역사를 정말 좋아합니다.
대한민국의 발전과 영광을 위해 이런 연수가 많이 활발해졌으면 좋겠습니다.
다시 한번 감사드립니다."
정훈쌤의 뚝딱 칼림바,15시간,2022.10.04,5점,칼림바라는 악기의 생소함과 배우고 싶은 마음으로 연수를 시작했습니다. 가사님의 연주실력이 뛰어나 열심히 연수하여 연주실력을 높이려고 시작한 연수가 재미와 힐링이 되었습니다. 악보도 찾아보고 다른 사람들의 연주 영상도 찾아보면 열심히 참여한 연수라 좋았습니다.
"학급경영, 수업, 업무 - 노션으로 한 방에 해결하기",15시간,2022.10.03,5점,각 차시마다 노션의 현장에서의 활용 방법을 실제적으로 안내해 주어 좋았습니다. 다만 노션을 처음 접한 분들께는 노션의 시스템을 익히는데 시간이 필요한 걸로 보입니다. 초반에 사용과 관련된 더 상세한 안내가 있다면 보다 쉽고 편하게 노션으로 학급경영과 관련된 좋은 방법을 익히는데 많은 도움이 되겠습니다.
"과학저술가 정인경, 이지유와 함께하는 신나는 과학수다",15시간,2022.10.03,5점,과학 원리를 우리의 삶과 연결지어 알기 쉽게 설명해주는 점이 무척 인상깊었다. 아이들에게도 어려운 과학 원리를 수다로 쉽게 풀어서 얘기해주면 흥미롭게 다가갈 수 있겠다는 생각이 들었다. 과학에 인문학과 사회학 그리고 정치학을 연결시켜 수다로 풀어나가 사회 문제나 현상을 다각적 시각에서 바라볼 수 있는 기회가 되었다.
초등학생 탐구생활,30시간,2022.10.03,5점,학급의 다양한 특성의 아이들과 상황별 대처법을 구체적으로 알려주는 유익한 연수였다. 교사의 가치관과 사회적 통념을 고려해서 큰 틀을 세우고 그 안에서 아이들의 자율성을 보장하자는 내용과 질문을 통해 서로 감정 소모을 하지 않으면서 자신의 실수를 깨닫게 하는 방법이 마음에 와닿았다. 학급에서 흔히 발생하는 문제에 대해 구체적인 솔루션을 제시해 바로 적용할 수 있도록 안내해 준 점 역시 좋았다.
인성교육 연구보고서 작성법,15시간,2022.10.03,5점,강사님들의 실전 경험을 바탕으로 한 강의는 매우 인상적이고 귀한 시간 이었습니다. 좋은 꿀팁을 알려 주셔서 감사드립니다.
"기후 변화 이야기, 교실에 오다",15시간,2022.09.29,5점,"기후 변화가 온몸으로 느껴지는 요즘, 교실에서도 아이들과 환경에 대한 문제를 이야기해야 한다고 생각했습니다. 그래서 듣게 된 연수인데, 대담형식으로 주요한 문제들을 하나씩 짚어주시니 이해도 잘 되고 상식도 많이 배우게 되었네요."
"이구동성, 마음을 다루는 미술활동",15시간,2022.09.29,5점,바로 적용할 수 있는 재미있고 참신한 미술활동이 많아서 좋았습니다.
정훈쌤의 뚝딱 칼림바,15시간,2022.09.28,4점,"그저 듣고 지나는 연수가 아니라 실기 능력을 향상시킬수 있는 연수가 있는 것만으로도 좋습니다.
연수를 통해 칼림바 악보와 악기를 동시에 얻었으니 더할 나위 없네요.
다만 속도가 너무 빨라서 학습자가 일시중시하고 연습 후 강의에 맞춰 연주해야 하거나 아니면 미리 연습을 좀 해야할 거 같아요.
이 정도의 연수면 이미 악보를 보고 읽을 줄 아는 선생님들을 대상으로 하는 것으로 판단되는데 기초 이론 내용은 좀 줄여도 좋지 않을까 싶습니다.
개인적으로 연주 연습을 하고 싶은데 인트로가 길다고 느껴졌어요.
상시 연수라 배속도 안되고 해서 좀 불편했네요. 빨리 본론으로 들어가고 싶은 마음에요..^^
칼림바 실기 연수임에도 퀴즈를 꼭 해야 하는가 싶은 생각이 들었습니다.
퀴즈 내용이 연수의 구성 때문에 어쩔 수 없이 들어간 거 같은 느낌이라..
차라리 그 시간에 본론 내용을 길게하여 연습할 수 있는 시간을 제공하는 것이 더 효율적이지 않았을까 싶어요.
이것 저것 사견을 말씀드렸지만...어찌되었건 칼림바 연수가 있다는 거 자체만으로도 좋습니다. 감사합니다."
세상에서 제일 쉬운 과학 이야기,30시간,2022.09.28,5점,"평소 과학에 관심도 없고, 어렵게만 생각한지라 이번에 연수를 신청하다가 유독 쉬운 과학 이야기는 무엇일까 궁금했다. 어려운 과학용어도 많이 나왔지만, 사실 그 무엇보다 우리에게 굉장히 밀접한 부분을 역사적인 이야기와 함께 풀어주니 멀게만 느껴졌던 과학이 조금은 가깝게 다가왔다.
이 연수를 듣고도 여전히 과학은 어렵다. 하지만 내 주위 곳곳에서 들려오는 과학용어들이 이제는 제법 친숙하게 느껴진다.
저와 비슷한 생각을 하는 선생님들께 추천!!!!"
